ID,target
ID_test_0,158.123774340122
ID_test_1,97.21790789493315
ID_test_10,21.39373261792405
ID_test_100,63.222890569999564
ID_test_1000,92.04620015513515
ID_test_1001,44.95529790484542
ID_test_1002,83.2707649302898
ID_test_1003,36.45801386147475
ID_test_1004,34.10106829154206
ID_test_1005,47.728920573603126
ID_test_1006,34.10032796852626
ID_test_1007,24.642760325641998
ID_test_1008,43.36808125035933
ID_test_1009,73.49273417078152
ID_test_101,176.76314954814964
ID_test_1010,45.01304592452552
ID_test_1011,50.000021614893754
ID_test_1012,44.71807888982933
ID_test_1013,40.58091879830951
ID_test_1014,44.967870021651514
ID_test_1015,43.390651174659936
ID_test_1016,52.547438853125996
ID_test_1017,36.6918323942576
ID_test_1018,37.99931374074783
ID_test_1019,23.490654461489992
ID_test_102,44.369598501071636
ID_test_1020,55.32964112912235
ID_test_1021,138.86735576593892
ID_test_1022,33.36772129245208
ID_test_1023,187.3656771323426
ID_test_1024,33.18318370491272
ID_test_1025,88.01937836440966
ID_test_1026,159.24497644822134
ID_test_1027,47.24646990174063
ID_test_1028,52.07579848244414
ID_test_1029,46.30417884406509
ID_test_103,51.411896259734476
ID_test_1030,180.6550062074441
ID_test_1031,63.885837727239796
ID_test_1032,21.582406284384472
ID_test_1033,63.003016322313634
ID_test_1034,60.80165503389908
ID_test_1035,43.59551374894075
ID_test_1036,83.66913000523752
ID_test_1037,91.67950795026273
ID_test_1038,61.21386629544969
ID_test_1039,65.04252331637304
ID_test_104,78.92756993160893
ID_test_1040,61.578243060570436
ID_test_1041,28.63019480742073
ID_test_1042,40.35644440196484
ID_test_1043,45.63423083887773
ID_test_1044,40.80994890883363
ID_test_1045,131.15474437713553
ID_test_1046,32.7395313849142
ID_test_1047,35.54978338745948
ID_test_1048,68.4714799477141
ID_test_1049,34.377128786437254
ID_test_105,25.359907769819422
ID_test_1050,34.16406846586269
ID_test_1051,58.11270144033215
ID_test_1052,29.68470654555719
ID_test_1053,42.616639537520285
ID_test_1054,40.43583989565478
ID_test_1055,34.49602903217895
ID_test_1056,42.2305824297957
ID_test_1057,51.81503229961951
ID_test_1058,44.5556497689504
ID_test_1059,52.95574445149439
ID_test_106,39.286438314032914
ID_test_1060,35.49719633259646
